State,Disbursements,Quarter,OPE ID,Sum of Recipients
GA,90827446.46999998,Q40910,,
IA,119796447.55999996,Q40910,,
IL,106859614.68999998,Q40910,,
NC,90638832.63999999,Q40910,,
WV,12478289.43,Q40910,,
WY,2717086.69,Q40910,,
GA,75327566.52999999,Q41617,170757700.0,57241.0
IA,12376344.15,Q41617,66128500.0,8813.0
IL,62709890.04,Q41617,320524100.0,44024.0
NC,39113838.54999999,Q41617,157414800.0,28690.0
WV,17461066.93,Q41617,110365100.0,10320.0
WY,1509404.19,Q41617,7140700.0,919.0
GA,293644713.71000004,Q11718,172808600.0,
IA,57913880.60999999,Q11718,72171000.0,
IL,156357554.25000006,Q11718,297355300.0,
NC,242160712.15999997,Q11718,157382100.0,
WV,24952182.509999994,Q11718,116348200.0,
WY,11914567.01,Q11718,7140700.0,
GA,361942228.35,Q11617,169938600.0,177145.0
IA,100947471.31000002,Q11617,71704600.0,48027.0
IL,380467291.62,Q11617,319335700.0,179634.0
NC,360125004.81000006,Q11617,164378500.0,163804.0
WV,81086952.36000001,Q11617,106332200.0,35700.0
WY,12317538.02,Q11617,7140700.0,5672.0
GA,378842937.7600001,Q11516,167629200.0,186336.0
IA,135447147.31,Q11516,72373700.0,69395.0
IL,371802542.19000006,Q11516,325945600.0,176582.0
NC,369812081.17,Q11516,173622200.0,167849.0
WV,86053905.08,Q11516,109225100.0,38217.0
WY,11651618.169999998,Q11516,7140700.0,5516.0
GA,422711928.85,Q11314,195553500.0,208582.0
IA,152663178.24,Q11314,73139300.0,79172.0
IL,413848905.15999985,Q11314,331945000.0,203299.0
NC,401392900.09000015,Q11314,160247400.0,184481.0
WV,95049446.02000001,Q11314,105563800.0,43621.0
WY,15237696.78,Q11314,7140700.0,7360.0
GA,351626602.65000004,Q31617,166493100.0,176540.0
IA,86976989.87,Q31617,71704600.0,41979.0
IL,371385166.90000004,Q31617,331609100.0,185006.0
NC,346385698.6099999,Q31617,160652100.0,160121.0
WV,61920173.570000015,Q31617,108064300.0,28978.0
WY,12475108.199999997,Q31617,7140700.0,5823.0
GA,219162628.48000002,Q41011,192446200.0,153976.0
IA,191368559.35999995,Q41011,73399200.0,100294.0
IL,191141156.66000003,Q41011,325697700.0,115402.0
NC,131695058.33000001,Q41011,164274000.0,79757.0
WV,34194635.23,Q41011,123868100.0,19028.0
WY,7813274.22,Q41011,7140700.0,4662.0
GA,125019166.73,Q41112,196757900.0,92012.0
IA,51179982.61000001,Q41112,76787700.0,37748.0
IL,110391001.35,Q41112,343491100.0,76901.0
NC,73461339.88000001,Q41112,174011400.0,47656.0
WV,20938485.3,Q41112,123868100.0,12452.0
WY,4618410.42,Q41112,7140700.0,2478.0
GA,126878899.13,Q10910,,
IA,133749359.93999998,Q10910,,
IL,135110064.2,Q10910,,
NC,140929069.39999998,Q10910,,
WV,34327394.41,Q10910,,
WY,7758758.58,Q10910,,
GA,391917416.45,Q11011,192446200.0,208844.0
IA,242945863.51,Q11011,68269700.0,122994.0
IL,415529575.92999995,Q11011,289010600.0,214745.0
NC,352882922.18,Q11011,142149500.0,161316.0
WV,94668864.36999999,Q11011,107221200.0,42498.0
WY,17649844.76,Q11011,7140700.0,8089.0
GA,479681798.46000004,Q11112,184190300.0,235687.0
IA,160294938.16,Q11112,76601900.0,89364.0
IL,426738781.1300001,Q11112,321494400.0,224360.0
NC,381335500.13000005,Q11112,160857300.0,175339.0
WV,98822274.30000001,Q11112,118317400.0,45212.0
WY,16226512.82,Q11112,7140700.0,7623.0
GA,412433791.81999993,Q11213,193725800.0,209458.0
IA,157840055.89999998,Q11213,73139300.0,80451.0
IL,396765364.72,Q11213,325879200.0,212023.0
NC,375396579.89000005,Q11213,158445300.0,172400.0
WV,95213207.25,Q11213,108821800.0,42922.0
WY,14587144.14,Q11213,7140700.0,6715.0
GA,78362875.09,Q20910,,
IA,108182677.41,Q20910,,
IL,128267473.46999997,Q20910,,
NC,47664272.81,Q20910,,
WV,10946191.79,Q20910,,
WY,1437154.83,Q20910,,
GA,156573317.13,Q21011,192446200.0,119609.0
IA,178329742.60999998,Q21011,69221400.0,94998.0
IL,310938181.8600002,Q21011,307416800.0,167859.0
NC,84922894.66000003,Q21011,155922200.0,43072.0
WV,24202111.669999998,Q21011,123868100.0,11736.0
WY,7539054.91,Q21011,7140700.0,3655.0
GA,64186279.219999984,Q21112,184190300.0,35310.0
IA,89288121.43999998,Q21112,76787700.0,49902.0
IL,285245376.1399999,Q21112,339299100.0,155585.0
NC,68877016.16999997,Q21112,167247800.0,36107.0
WV,29582568.700000003,Q21112,121618200.0,15381.0
WY,5494057.669999999,Q21112,7140700.0,2577.0
GA,75568694.84,Q21213,193725800.0,42058.0
IA,69115036.4,Q21213,77414400.0,38706.0
IL,231929465.01000005,Q21213,331683700.0,149156.0
NC,75769956.11999996,Q21213,165446600.0,38382.0
WV,30762293.330000002,Q21213,116514800.0,15524.0
WY,5544934.2,Q21213,7140700.0,2535.0
GA,144989416.72999996,Q30910,,
IA,184341673.85,Q30910,,
IL,253456807.84999996,Q30910,,
NC,257430907.4499999,Q30910,,
WV,44337866.37,Q30910,,
WY,11651656.37,Q30910,,
GA,383657166.18,Q31011,192446200.0,221794.0
IA,258942124.67000002,Q31011,69221400.0,129481.0
IL,540169942.25,Q31011,309490000.0,271136.0
NC,414542443.7699999,Q31011,160100300.0,194035.0
WV,97896325.85000001,Q31011,123868100.0,44984.0
WY,20027349.19,Q31011,7140700.0,9661.0
GA,425088473.23999995,Q31112,188394800.0,226130.0
IA,153501774.86,Q31112,76787700.0,86329.0
IL,499092811.13999987,Q31112,343491100.0,258909.0
NC,421179331.53000003,Q31112,174011400.0,197989.0
WV,97956875.48999998,Q31112,123868100.0,46271.0
WY,20286961.82,Q31112,7140700.0,9391.0
GA,393858101.91999996,Q31213,197932200.0,207527.0
IA,140206626.6,Q31213,77414400.0,78642.0
IL,466864387.89,Q31213,341446300.0,247046.0
NC,401201267.54000014,Q31213,171889000.0,188385.0
WV,88705235.04,Q31213,117750700.0,41978.0
WY,19154557.73,Q31213,7140700.0,8670.0
GA,114499015.66000001,Q41213,210562000.0,84409.0
IA,56473980.9,Q41213,77414400.0,38164.0
IL,126346784.45000003,Q41213,349866300.0,91796.0
NC,72805904.93,Q41213,171889000.0,47355.0
WV,22453673.919999998,Q41213,117750700.0,13671.0
WY,4743258.419999999,Q41213,7140700.0,2584.0
GA,267744989.5400001,Q12021,149946500.0,
IA,41389047.769999996,Q12021,54776400.0,
IL,102019037.97000001,Q12021,250121900.0,
NC,196982198.5399999,Q12021,144789700.0,
WV,27129741.340000004,Q12021,106398000.0,
WY,9625200.07,Q12021,7140700.0,
GA,85700698.51,Q41920,154188800.0,
IA,8862051.84,Q41920,55294800.0,
IL,31633509.249999996,Q41920,269240000.0,
NC,60627524.290000014,Q41920,148636700.0,
WV,2891946.9499999997,Q41920,110731700.0,
WY,1308808.61,Q41920,6747400.0,
GA,243382883.64,Q31920,154188800.0,
IA,37360894.25,Q31920,58898400.0,
IL,176303632.6200001,Q31920,279352500.0,
NC,216044298.44000006,Q31920,149579400.0,
WV,23301976.91,Q31920,111323400.0,
WY,10730670.09,Q31920,7140700.0,
GA,25068414.21,Q21920,153637700.0,
IA,6464046.929999999,Q21920,55747300.0,
IL,39625416.139999986,Q21920,273516900.0,
NC,21771634.130000003,Q21920,148931100.0,
WV,2739416.75,Q21920,112298000.0,
WY,557749.21,Q21920,7140700.0,
GA,288112646.3699999,Q11920,157165500.0,
IA,52860308.81000001,Q11920,58351100.0,
IL,166014738.60999995,Q11920,271866900.0,
NC,246529794.06000003,Q11920,142127500.0,
WV,24522739.27,Q11920,115820500.0,
WY,12063218.15,Q11920,7140700.0,
GA,93408762.67,Q41819,161422200.0,
IA,11633359.819999998,Q41819,61237200.0,
IL,37148872.52000002,Q41819,280343200.0,
NC,62177027.55,Q41819,152862400.0,
WV,17498669.150000002,Q41819,115881600.0,
WY,1345072.87,Q41819,7140700.0,
GA,280693956.5900001,Q31819,161519300.0,
IA,44100109.17999999,Q31819,58211500.0,
IL,212633445.45000005,Q31819,277030500.0,
NC,224342534.91999993,Q31819,149099600.0,
WV,21074670.14,Q31819,119932800.0,
WY,11787877.78,Q31819,7140700.0,
GA,23733107.18,Q21819,164198200.0,
IA,6251304.55,Q21819,54561300.0,
IL,54424633.99,Q21819,284728000.0,
NC,26277224.95000001,Q21819,156144000.0,
WV,4861107.420000001,Q21819,117439600.0,
WY,453533.67,Q21819,7140700.0,
GA,280582693.01,Q11819,164609900.0,
IA,53680257.41000001,Q11819,66154200.0,
IL,144658166.50000006,Q11819,280690600.0,
NC,245415603.72000006,Q11819,153847300.0,
WV,26620234.41,Q11819,108334300.0,
WY,11842528.819999998,Q11819,7140700.0,
GA,93776239.32000002,Q41718,164609900.0,
IA,11155707.020000001,Q41718,66646200.0,
IL,32234958.920000006,Q41718,292261000.0,
NC,51986852.70999999,Q41718,160360300.0,
WV,14993450.909999998,Q41718,113359600.0,
WY,1472878.58,Q41718,7140700.0,
GA,281085863.01000005,Q31718,168658700.0,
IA,54544238.230000004,Q31718,66988900.0,
IL,160120516.17999992,Q31718,298740100.0,
NC,214263703.42,Q31718,157414800.0,
WV,23189420.220000003,Q31718,113777700.0,
WY,11708632.11,Q31718,7140700.0,
GA,24346784.299999997,Q21718,168140200.0,
IA,7090219.2299999995,Q21718,68097200.0,
IL,50131473.03000001,Q21718,291123100.0,
NC,21804827.710000005,Q21718,157547900.0,
WV,1687910.95,Q21718,119261700.0,
WY,966865.02,Q21718,7140700.0,
GA,34724448.96999999,Q21617,169716700.0,19192.0
IA,24047772.76,Q21617,71704600.0,12427.0
IL,128601195.33,Q21617,328931400.0,76732.0
NC,39022061.039999984,Q21617,170117100.0,20332.0
WV,32743177.49,Q21617,111244500.0,16007.0
WY,1747432.12,Q21617,7140700.0,856.0
GA,79766289.2,Q41516,174685400.0,60472.0
IA,36766303.46999999,Q41516,70550400.0,26285.0
IL,65444248.910000004,Q41516,337466700.0,47925.0
NC,42141195.79000001,Q41516,170410200.0,31199.0
WV,17938730.08,Q41516,101643900.0,10731.0
WY,1780596.07,Q41516,7140700.0,1237.0
GA,373479874.16999996,Q31516,179095900.0,187116.0
IA,135727407.32999998,Q31516,72559500.0,69578.0
IL,411605823.28000015,Q31516,334065700.0,206239.0
NC,374060445.40000015,Q31516,175792600.0,173178.0
WV,77973159.33000001,Q31516,108251100.0,36302.0
WY,12342968.959999999,Q31516,7140700.0,5896.0
GA,42109048.13999999,Q21516,181333100.0,22474.0
IA,43810110.57,Q21516,72559500.0,28213.0
IL,174687214.92999998,Q21516,338397800.0,100493.0
NC,40476004.05,Q21516,172040600.0,21497.0
WV,24714446.4,Q21516,109004200.0,12645.0
WY,2084163.17,Q21516,7140700.0,1091.0
GA,90205638.90999998,Q41415,180682900.0,68062.0
IA,46804242.95999999,Q41415,66682000.0,32473.0
IL,75712783.72999999,Q41415,337557100.0,56180.0
NC,44803557.69000002,Q41415,177610200.0,33245.0
WV,18312675.49,Q41415,99644900.0,10836.0
WY,1824371.65,Q41415,7140700.0,1269.0
GA,382956470.67999995,Q31415,183884500.0,194922.0
IA,137893732.53,Q31415,72373700.0,74843.0
IL,450083564.0600001,Q31415,341801500.0,228325.0
NC,399482437.24999976,Q31415,174577900.0,186221.0
WV,81877579.18999998,Q31415,105214400.0,38669.0
WY,13444021.490000002,Q31415,7140700.0,6498.0
GA,58014085.139999986,Q21415,187476500.0,30722.0
IA,61630291.559999995,Q21415,72559500.0,36140.0
IL,198261032.08000004,Q21415,340081500.0,115747.0
NC,54767661.2,Q21415,170235300.0,29032.0
WV,27720467.24,Q21415,110962300.0,15466.0
WY,2619563.27,Q21415,7140700.0,1307.0
GA,106541848.75999999,Q41314,199774600.0,78126.0
IA,51037621.53000001,Q41314,67035600.0,35549.0
IL,93593689.42000006,Q41314,351669500.0,71311.0
NC,48841152.07999999,Q41314,177868800.0,36305.0
