State,Disbursements,Quarter,OPE ID,Sum of Recipients
AK,3202035.2199999997,Q40910,,
AL,93420642.55000001,Q40910,,
AR,18382978.580000002,Q40910,,
AS,983058.88,Q40910,,
AZ,449426390.93,Q40910,,
CA,249907922.9700001,Q40910,,
CO,52265473.97,Q40910,,
CT,12263057.96,Q40910,,
DC,42761657.61999999,Q40910,,
DE,5915168.43,Q40910,,
FL,334456960.2999999,Q40910,,
FM,0.0,Q40910,,
GA,90827446.46999998,Q40910,,
GU,0.0,Q40910,,
HI,1796995.31,Q40910,,
IA,119796447.55999996,Q40910,,
ID,17888203.319999997,Q40910,,
IL,106859614.68999998,Q40910,,
IN,84756977.72999997,Q40910,,
KS,13247158.91,Q40910,,
KY,15266027.11,Q40910,,
LA,23296153.189999998,Q40910,,
MA,22327011.010000005,Q40910,,
MD,27773448.020000003,Q40910,,
ME,1633147.54,Q40910,,
MH,0.0,Q40910,,
MI,84604202.15,Q40910,,
MN,19555824.519999996,Q40910,,
MO,32850707.409999993,Q40910,,
MP,0.0,Q40910,,
MS,40347776.32,Q40910,,
MT,2398324.62,Q40910,,
NC,90638832.63999999,Q40910,,
ND,287068.84,Q40910,,
NE,6917659.890000001,Q40910,,
NH,724522.64,Q40910,,
NJ,40739445.76,Q40910,,
NM,5133715.620000001,Q40910,,
NV,14551928.900000002,Q40910,,
NY,105895827.55000003,Q40910,,
OH,58759860.559999995,Q40910,,
OK,20573641.750000007,Q40910,,
OR,19269204.68,Q40910,,
PA,46949092.239999995,Q40910,,
PR,130279801.05999999,Q40910,,
PW,0.0,Q40910,,
RI,14500880.600000001,Q40910,,
SC,35084746.220000006,Q40910,,
SD,6197849.119999999,Q40910,,
TN,40000518.669999994,Q40910,,
TX,243844928.5300001,Q40910,,
UT,43984759.500000015,Q40910,,
VA,49701638.91,Q40910,,
VI,0.0,Q40910,,
VT,524286.32000000007,Q40910,,
WA,56477639.92,Q40910,,
WI,18651146.820000004,Q40910,,
WV,12478289.43,Q40910,,
WY,2717086.69,Q40910,,
AK,1472993.14,Q41617,14660200.0,1036.0
AL,51440370.60999999,Q41617,94544500.0,31047.0
AR,12259464.590000002,Q41617,123981500.0,7711.0
AS,590468.28,Q41617,1001000.0,328.0
AZ,134090453.03999998,Q41617,152706000.0,64492.0
CA,439156650.0700002,Q41617,1068784900.0,296909.0
CO,46158975.33999999,Q41617,157563300.0,30675.0
CT,23037693.52,Q41617,72173100.0,14450.0
DC,25149613.160000004,Q41617,16916400.0,18843.0
DE,4269767.27,Q41617,31693300.0,3051.0
FL,249282236.18000004,Q41617,688708300.0,150646.0
FM,1019755.0,Q41617,1034300.0,618.0
GA,75327566.52999999,Q41617,170757700.0,57241.0
GU,3229899.0,Q41617,5367900.0,1202.0
HI,2476621.4499999997,Q41617,26094600.0,1356.0
IA,12376344.15,Q41617,66128500.0,8813.0
ID,19608067.240000002,Q41617,65705800.0,11281.0
IL,62709890.04,Q41617,320524100.0,44024.0
IN,51707517.26,Q41617,123628100.0,35301.0
KS,15321422.08,Q41617,62084400.0,9774.0
KY,19935620.069999997,Q41617,103129200.0,13291.0
LA,23766538.18,Q41617,181809700.0,13847.0
MA,24267895.85,Q41617,134018100.0,15955.0
MD,27304072.79,Q41617,99708400.0,19740.0
ME,3670114.8600000003,Q41617,33950000.0,2357.0
MH,636974.0,Q41617,3022400.0,357.0
MI,59748792.57999998,Q41617,188236100.0,40692.0
MN,30337750.709999997,Q41617,88833900.0,25222.0
MO,26619672.909999993,Q41617,225722600.0,18571.0
MP,141079.0,Q41617,3033000.0,41.0
MS,15262941.450000001,Q41617,43957300.0,8532.0
MT,2023993.97,Q41617,42805500.0,1178.0
NC,39113838.54999999,Q41617,157414800.0,28690.0
ND,1658180.3,Q41617,30670900.0,1263.0
NE,9250764.61,Q41617,43586300.0,7404.0
NH,9955964.36,Q41617,45407700.0,13557.0
NJ,43166105.99000001,Q41617,217700500.0,22614.0
NM,10361309.419999996,Q41617,45590500.0,8216.0
NV,11921741.730000002,Q41617,58493900.0,7136.0
NY,132363444.60000001,Q41617,551128700.0,60664.0
OH,46406524.64,Q41617,379947400.0,28939.0
OK,24449988.55,Q41617,149654700.0,14372.0
OR,38289305.04,Q41617,101272700.0,28115.0
PA,53936882.85000001,Q41617,319544100.0,34058.0
PR,63653942.53999999,Q41617,238712200.0,32513.0
PW,368375.0,Q41617,1100900.0,165.0
RI,4739510.36,Q41617,21975600.0,3110.0
SC,21677429.129999995,Q41617,99905600.0,15088.0
SD,2939373.4000000004,Q41617,17877900.0,1909.0
TN,36688254.940000005,Q41617,214200600.0,21357.0
TX,153908098.60999995,Q41617,569084800.0,100141.0
UT,55874772.57,Q41617,137165500.0,27332.0
VA,56778129.949999996,Q41617,181618400.0,35549.0
VI,101122.0,Q41617,394600.0,61.0
VT,1999972.28,Q41617,17855400.0,1428.0
WA,45869442.76999999,Q41617,142524600.0,29963.0
WI,15463486.65,Q41617,107070800.0,10740.0
WV,17461066.93,Q41617,110365100.0,10320.0
WY,1509404.19,Q41617,7140700.0,919.0
AK,9438150.910000002,Q11718,15650600.0,
AL,111645665.41,Q11718,95570800.0,
AR,47107235.859999985,Q11718,128800000.0,
AS,0.0,Q11718,1001000.0,
AZ,174913109.46999994,Q11718,156053100.0,
CA,478369926.14,Q11718,1055557900.0,
CO,17787173.27,Q11718,150824300.0,
CT,66399659.94,Q11718,75345000.0,
DC,32276720.67,Q11718,16916400.0,
DE,3717728.6399999997,Q11718,31851000.0,
FL,488927712.8499999,Q11718,633439500.0,
FM,2774489.24,Q11718,1034300.0,
GA,293644713.71000004,Q11718,172808600.0,
GU,0.0,Q11718,5367900.0,
HI,15473094.939999998,Q11718,23994300.0,
IA,57913880.60999999,Q11718,72171000.0,
ID,11823018.770000001,Q11718,69974100.0,
IL,156357554.25000006,Q11718,297355300.0,
IN,85948328.9,Q11718,124216100.0,
KS,30432144.200000003,Q11718,61893500.0,
KY,74913138.51,Q11718,106327800.0,
LA,107088925.91000003,Q11718,191461100.0,
MA,7613486.5600000005,Q11718,127524600.0,
MD,76704298.92000002,Q11718,92667800.0,
ME,2487641.5399999996,Q11718,39923600.0,
MH,797320.71,Q11718,3022400.0,
MI,132159999.25999996,Q11718,189554500.0,
MN,38330200.18000001,Q11718,92728300.0,
MO,112922567.96,Q11718,223032900.0,
MP,0.0,Q11718,3033000.0,
MS,54490937.93,Q11718,43474400.0,
MT,9241386.12,Q11718,35883800.0,
NC,242160712.15999997,Q11718,157382100.0,
ND,1245718.51,Q11718,28434400.0,
NE,13947083.4,Q11718,48676300.0,
NH,48756274.809999995,Q11718,42619600.0,
